mode	label	channel	graph	scale	mean_radius	re	im	abs	jacobian
selected_channel	GL06_prob1000	0	4	0.25	62662.006158237724	0.021537461134218446	0.0034285829371469537	0.021808654545039347	1.1304509428405329e+55
selected_channel	GL06_prob1000	0	4	0.125	125325.01231647545	0.04307519817901877	0.006857808278849041	0.04361768256740828	2.89406963014054e+57
selected_channel	GL06_prob1000	0	4	0.0625	250651.0246329509	0.08615067221015438	0.01371625895436294	0.08723573855917428	7.408965733324158e+59
selected_channel	GL06_prob1000	1	4	16.0	978.1094712229884	0.0002974152177682117	0.0007258596067629937	0.0007844284419182164	3.996057410090965e+40
selected_channel	GL06_prob1000	1	4	8.0	1957.2189424459768	0.0005986005937639408	0.0014540762130545294	0.0015724694923036006	1.0256035185859069e+43
selected_channel	GL06_prob1000	1	4	4.0	3915.4378848919537	0.0012009448379572605	0.002910497880058853	0.00314853401024084	2.6288939019144502e+45
selected_channel	GL06_prob1000	1	4	2.0	7831.875769783907	0.0024056201171140795	0.0058233354483922676	0.0063006542432009335	6.7342578443981054e+47
selected_channel	GL06_prob1000	1	4	1.0	15664.751539567815	0.004814964082252368	0.011649007704121278	0.012604890305117982	1.7245192422561031e+50
selected_channel	GL06_prob1000	1	4	0.5	31330.50307913563	0.00963364871713174	0.023300350775748237	0.025213360225840694	4.415472397453225e+52
selected_channel	GL06_prob1000	1	4	0.25	62662.006158237724	0.019271016349325966	0.04660303619900464	0.050430298968990116	1.1304509428405329e+55
selected_channel	GL06_prob1000	1	4	0.125	125325.01231647545	0.03854575078502049	0.0932084066708076	0.10086417588862538	2.89406963014054e+57
selected_channel	GL06_prob1000	1	4	0.0625	250651.0246329509	0.07709521925439011	0.1864191473856389	0.20173192941096618	7.408965733324158e+59
selected_channel	GL06_prob1000	2	4	16.0	978.1094712229884	0.0003364901819736994	5.276802881015316e-05	0.00034060256521230504	3.996057410090965e+40
selected_channel	GL06_prob1000	2	4	8.0	1957.2189424459768	0.0006730185353099838	0.00010635121643099547	0.0006813695987547055	1.0256035185859069e+43
selected_channel	GL06_prob1000	2	4	4.0	3915.4378848919537	0.0013460734224166582	0.00021351527730700972	0.0013629022093239061	2.6288939019144502e+45
selected_channel	GL06_prob1000	2	4	2.0	7831.875769783907	0.002692182288869164	0.0004278422440032814	0.0027259667023378283	6.7342578443981054e+47
selected_channel	GL06_prob1000	2	4	1.0	15664.751539567815	0.0053843995683189715	0.0008564956005624044	0.005452095324285543	1.7245192422561031e+50
selected_channel	GL06_prob1000	2	4	0.5	31330.50307913563	0.0107688339009871	0.0017138020247969659	0.010904352386421085	4.415472397453225e+52
selected_channel	GL06_prob1000	2	4	0.25	62662.006158237724	0.02153770245077456	0.0034284147324993184	0.021808866417953016	1.1304509428405329e+55
selected_channel	GL06_prob1000	2	4	0.125	125325.01231647545	0.043075439506950475	0.006857640057716658	0.04361789444572204	2.89406963014054e+57
selected_channel	GL06_prob1000	2	4	0.0625	250651.0246329509	0.08615091353992875	0.013716090742474735	0.08723595043913994	7.408965733324158e+59
selected_channel	GL06_prob1000	3	4	16.0	978.1094712229884	0.0003365165509526714	5.288253302867801e-05	0.00034064637289219906	3.996057410090965e+40
selected_channel	GL06_prob1000	3	4	8.0	1957.2189424459768	0.0006730448890191077	0.00010646579399913683	0.000681413521972238	1.0256035185859069e+43
selected_channel	GL06_prob1000	3	4	4.0	3915.4378848919537	0.0013460997686142052	0.00021362989136453455	0.0013629461902612441	2.6288939019144502e+45
selected_channel	GL06_prob1000	3	4	2.0	7831.875769783907	0.002692208631303292	0.00042795687632482006	0.002726010712095175	6.7342578443981054e+47
selected_channel	GL06_prob1000	3	4	1.0	15664.751539567815	0.0053844259089580225	0.0008566102420461676	0.005452139348534373	1.7245192422561031e+50
selected_channel	GL06_prob1000	3	4	0.5	31330.50307913563	0.01076886024018036	0.0017139166713765342	0.010904396417452908	4.415472397453225e+52
