R	epsilon	W_toy
2.3974349678010771e+00	1.0000000000000001e-01	5.5893102525049763e+00
2.7735626141984144e+00	1.0000000000000001e-01	7.4128108464663987e+00
3.2086999973704500e+00	1.0000000000000001e-01	9.8034475036170026e+00
3.7121050090663621e+00	1.0000000000000001e-01	1.2918380409238274e+01
4.2944879887892746e+00	1.0000000000000001e-01	1.6946061141858877e+01
4.9682395947343858e+00	1.0000000000000001e-01	2.2105520069573977e+01
5.7476944248353528e+00	1.0000000000000001e-01	2.8641962177522078e+01
6.6494359966650469e+00	1.0000000000000001e-01	3.6818357005394816e+01
7.6926495748791419e+00	1.0000000000000001e-01	4.6904221867930836e+01
8.8995303528852308e+00	1.0000000000000001e-01	5.9164770832433938e+01
1.0295755673125127e+01	1.0000000000000001e-01	7.3855037122886330e+01
1.1911031332830067e+01	1.0000000000000001e-01	9.1223207231076586e+01
1.3779723598335575e+01	1.0000000000000001e-01	1.1152476074273208e+02
1.5941590374559995e+01	1.0000000000000001e-01	1.3504524356851377e+02
1.8442627085855346e+01	1.0000000000000001e-01	1.6212681091354798e+02
2.1336045265014107e+01	1.0000000000000001e-01	1.9319355181889486e+02
2.4683404670686500e+01	1.0000000000000001e-01	2.2877269506464074e+02
2.8555923019901090e+01	1.0000000000000001e-01	2.6951149131561323e+02
3.3035991201283395e+01	1.0000000000000001e-01	3.1619145550687449e+02
3.8218926206331190e+01	1.0000000000000001e-01	3.6974230997139728e+02
4.4214999073744892e+01	1.0000000000000001e-01	4.3125774234364951e+02
5.1151780992931450e+01	1.0000000000000001e-01	5.0201453164400164e+02
5.9176857481888248e+01	1.0000000000000001e-01	5.8349608169873602e+02
6.8460968385746582e+01	1.0000000000000001e-01	6.7742108212999437e+02
7.9201640501925525e+01	1.0000000000000001e-01	7.8577789499175606e+02
9.1627390118867410e+01	1.0000000000000001e-01	9.1086528657412066e+02
1.0600258488068825e+02	1.0000000000000001e-01	1.0553402344326089e+03
1.2263306841775632e+02	1.0000000000000001e-01	1.2222737017894206e+03
1.4187266741165962e+02	1.0000000000000001e-01	1.4152154650907780e+03
1.6413071953751299e+02	1.0000000000000001e-01	1.6382692981780056e+03
1.8988078244652633e+02	1.0000000000000001e-01	1.8961800582125427e+03
2.1967070907932353e+02	1.0000000000000001e-01	2.1944344882068508e+03
2.5413430367026390e+02	1.0000000000000001e-01	2.5393778548912865e+03
2.9400480643347106e+02	1.0000000000000001e-01	2.9383488860421489e+03
3.4013049382792531e+02	1.0000000000000001e-01	3.3998358665647720e+03
3.9349272630958495e+02	1.0000000000000001e-01	3.9336572067366251e+03
